fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area
2015-03-07,13:35:00,2015-03-07,15:10:00,춘천,동,0.2
2015-03-04,11:40:00,2015-03-05,08:00:00,정선,여량,7.0
2015-03-02,16:17:00,2015-03-02,17:20:00,인제,북,0.01
2015-02-26,14:15:00,2015-02-26,15:35:00,원주,태장,0.2
2015-02-12,11:46:00,2015-02-12,14:00:00,영월,남,1.0
2015-02-08,13:31:00,2015-02-11,10:00:00,삼척,가곡,18.0
2015-02-01,16:21:00,2015-02-01,17:43:00,춘천,북산,0.1
2015-01-10,13:02:00,2015-01-10,16:00:00,강릉,왕산,0.2
2015-01-05,01:54:00,2015-01-05,03:00:00,강릉,주문진,0.16
2015-03-22,13:40:00,2015-03-22,15:15:00,영월,주천,0.1
2015-03-21,13:25:00,2015-03-21,15:12:00,화천,화천,0.3
2015-03-20,14:43:00,2015-03-20,16:00:00,홍천,동,0.1
2015-03-19,15:03:00,2015-03-19,16:10:00,화천,사내,0.02
2015-03-17,16:14:00,2015-03-17,18:40:00,삼척,원덕,0.5
2015-03-16,15:54:00,2015-03-16,17:20:00,태백,금천,0.5
2015-04-24,13:30:00,2015-04-24,16:00:00,정선,여량,0.3
2015-04-23,14:30:00,2015-04-23,22:00:00,인제,인제,1.0
2015-04-23,12:20:00,2015-04-23,14:40:00,고성,간성,0.5
2015-04-13,10:41:00,2015-04-13,11:35:00,화천,상서,0.3
2015-04-12,16:20:00,2015-04-12,17:50:00,철원,김화,0.2
2015-04-12,07:30:00,2015-04-12,09:00:00,원주,호저,0.06
2015-04-03,14:37:00,2015-04-03,15:40:00,인제,북,0.01
2015-03-30,13:08:00,2015-03-30,15:30:00,춘천,남산,0.1
2015-03-29,14:30:00,2015-03-29,15:30:00,춘천,남산,0.03
2015-03-29,13:05:00,2015-03-29,13:39:00,원주,태장,0.05
2015-03-28,14:40:00,2015-03-28,22:30:00,평창,미탄,2.5
2016-12-02,12:37:00,2016-12-02,13:30:00,철원,서,0.02
2016-11-29,04:35:00,2016-11-29,05:30:00,강릉,주문진,0.01
2016-11-25,17:45:00,2016-11-25,18:50:00,횡성,횡성,0.03
2016-11-21,04:29:00,2016-11-21,05:50:00,강릉,구정,0.01
2016-11-14,12:33:00,2016-11-14,13:10:00,삼척,하장,0.01
2016-09-20,14:10:00,2016-09-20,16:30:00,춘천,사북,0.01
2016-08-23,16:28:00,2016-08-23,18:44:00,원주,귀래,0.03
2016-08-18,15:55:00,2016-08-18,18:46:00,횡성,서원,0.04
2016-06-29,14:30:00,2016-06-29,16:30:00,횡성,서원,0.3
2016-06-20,15:45:00,2016-06-20,17:21:00,원주,흥업,0.05
2016-06-17,13:10:00,2016-06-17,14:40:00,춘천,서,0.01
2016-06-10,13:07:00,2016-06-10,14:30:00,정선,신동,0.2
2016-06-10,12:55:00,2016-06-10,14:35:00,홍천,내촌,0.1
2016-06-06,14:50:00,2016-06-06,17:00:00,인제,남,0.01
2016-06-06,12:48:00,2016-06-06,15:30:00,강릉,연곡,0.1
2016-06-05,10:46:00,2016-06-05,12:50:00,인제,남,0.1
2016-06-04,11:05:00,2016-06-04,13:00:00,화천,하남,0.01
2016-06-04,06:07:00,2016-06-04,11:40:00,고성,토성,0.3
2016-06-03,11:45:00,2016-06-03,12:40:00,인제,남,0.1
2016-06-03,11:10:00,2016-06-03,15:40:00,삼척,가곡,0.5
2016-05-30,13:45:00,2016-05-30,15:50:00,평창,진부,1.0
2016-05-21,19:55:00,2016-05-21,21:40:00,양구,양구,0.05
2016-05-21,15:04:00,2016-05-21,18:00:00,춘천,신동,0.01
2016-05-20,15:18:00,2016-05-20,16:23:00,원주,소초,0.08
2016-05-18,13:14:00,2016-05-18,15:40:00,양양,강현,0.05
2016-05-15,13:12:00,2016-05-15,15:30:00,정선,신동,0.1
2016-05-14,15:20:00,2016-05-14,18:00:00,정선,남,2.0
2016-05-14,12:35:00,2016-05-14,14:20:00,정선,신동,0.3
2016-05-12,17:24:00,2016-05-12,19:30:00,삼척,근덕,0.1
2016-05-09,13:23:00,2016-05-09,16:05:00,영월,주천,0.02
2016-05-07,16:40:00,2016-05-07,19:00:00,삼척,하장,0.03
2016-05-01,08:35:00,2016-05-01,09:30:00,평창,봉평,0.01
2016-04-30,19:05:00,2016-04-30,20:15:00,강릉,연곡,0.03
2016-04-26,12:35:00,2016-04-26,13:50:00,인제,남,0.01
2016-04-24,10:35:00,2016-04-24,12:15:00,삼척,원덕,0.05
2016-04-16,15:13:00,2016-04-16,16:23:00,삼척,미로,0.04
2016-04-11,12:51:00,2016-04-11,14:20:00,춘천,신북,0.7
2016-04-09,15:32:00,2016-04-09,16:44:00,고성,죽왕,0.08
2016-04-06,19:40:00,2016-04-06,21:50:00,홍천,동,0.8
2016-04-06,15:10:00,2016-04-06,16:24:00,원주,부론,0.05
2016-04-04,17:52:00,2016-04-04,18:51:00,화천,하남,0.01
2016-04-02,19:05:00,2016-04-03,01:00:00,평창,방림,2.0
2016-04-02,15:24:00,2016-04-02,17:50:00,영월,김삿갓,0.5
2016-04-02,14:20:00,2016-04-02,18:00:00,홍천,서,1.0
2016-04-01,16:48:00,2016-04-01,17:55:00,횡성,횡성,0.5
2016-04-01,12:45:00,2016-04-01,20:20:00,양구,남,6.0
2016-04-01,11:20:00,2016-04-01,12:18:00,평창,진부,0.2
2016-04-01,10:06:00,2016-04-01,11:10:00,철원,갈말,0.2
2016-03-31,12:52:00,2016-03-31,15:30:00,화천,사내,1.5
