fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area,corrected_address,original_address
2012-02-16,14:05:00,2012-02-16,15:15:00,원주,소초,0.1,강원도 원주시 소초면,강원도 원주 소초
2012-02-05,16:28:00,2012-02-05,16:49:00,고성,거진,0.2,강원도 고성군 거진읍,강원도 고성 거진
2012-01-11,15:15:00,2012-01-11,16:50:00,홍천,홍천,0.03,강원도 홍천군 홍천읍,강원도 홍천 홍천
2013-12-06,14:06:00,2013-12-06,14:45:00,양양,현북,0.01,강원도 양양군 현북면,강원도 양양 현북
2013-12-01,21:40:00,2013-12-01,22:40:00,강릉,성산,0.03,강원도 강릉시 성산면,강원도 강릉 성산
2013-11-22,22:17:00,2013-11-23,02:30:00,태백,하사미,0.05,강원도 태백시 하사미동,강원도 태백 하사미
2013-11-08,21:31:00,2013-11-08,21:51:00,양양,양양,0.01,강원도 양양군 양양읍,강원도 양양 양양
2013-10-29,14:30:00,2013-10-29,16:54:00,춘천,사북,0.05,강원도 춘천시 사북면,강원도 춘천 사북
2013-08-14,17:55:00,2013-08-15,07:15:00,삼척,노곡,0.3,강원도 삼척시 노곡면,강원도 삼척 노곡
2013-08-11,16:22:00,2013-08-12,08:38:00,삼척,가곡,0.5,강원도 삼척시 가곡면,강원도 삼척 가곡
2013-06-11,15:55:00,2013-06-11,19:20:00,양구,남,0.01,강원도 양구군 국토정중앙면,강원도 양구 남
2013-06-07,03:02:00,2013-06-07,04:30:00,춘천,동,0.02,강원도 춘천시 동면,강원도 춘천 동
2013-05-17,22:30:00,2013-05-18,00:30:00,춘천,서,0.02,강원도 춘천시 서면,강원도 춘천 서
2013-05-16,11:16:00,2013-05-16,12:10:00,홍천,남,0.05,강원도 홍천군 남면,강원도 홍천 남
2013-05-14,08:43:00,2013-05-14,10:33:00,화천,화천,0.02,강원도 화천군 화천읍,강원도 화천 화천
2013-05-12,14:00:00,2013-05-12,15:30:00,삼척,미로,0.1,강원도 삼척시 미로면,강원도 삼척 미로
2013-05-08,12:35:00,2013-05-08,14:40:00,횡성,강림,0.2,강원도 횡성군 강림면,강원도 횡성 강림
2013-05-08,11:10:00,2013-05-08,12:40:00,속초,설악,0.01,강원도 속초시 설악동,강원도 속초 설악
2013-05-06,14:50:00,2013-05-06,16:19:00,춘천,동,0.1,강원도 춘천시 동면,강원도 춘천 동
2013-05-06,01:27:00,2013-05-06,04:30:00,춘천,동,0.5,강원도 춘천시 동면,강원도 춘천 동
2013-04-01,14:20:00,2013-04-01,15:10:00,춘천,동,0.01,강원도 춘천시 동면,강원도 춘천 동
2013-03-28,02:20:00,2013-03-28,02:55:00,강릉,교,0.02,강원도 강릉시 교동,강원도 강릉 교
2013-03-27,16:02:00,2013-03-27,18:40:00,홍천,홍천,0.1,강원도 홍천군 홍천읍,강원도 홍천 홍천
2013-03-27,14:37:00,2013-03-27,18:30:00,춘천,남산,4.0,강원도 춘천시 남산면,강원도 춘천 남산
2013-03-23,14:38:00,2013-03-23,15:40:00,원주,지정,0.1,강원도 원주시 지정면,강원도 원주 지정
2013-03-16,10:55:00,2013-03-16,12:51:00,양양,강현,0.2,강원도 양양군 강현면,강원도 양양 강현
2013-03-04,12:27:00,2013-03-04,14:00:00,삼척,근덕,0.2,강원도 삼척시 근덕면,강원도 삼척 근덕
2013-02-28,12:10:00,2013-02-28,13:00:00,삼척,원덕,0.02,강원도 삼척시 원덕읍,강원도 삼척 원덕
2013-01-12,16:40:00,2013-01-12,18:50:00,양양,강현,0.1,강원도 양양군 강현면,강원도 양양 강현
2013-03-11,12:50:00,2013-03-11,13:30:00,양구,양구,0.1,강원도 양구군 양구읍,강원도 양구 양구
2013-03-09,13:15:00,2013-03-09,14:20:00,춘천,북산,0.3,강원도 춘천시 북산면,강원도 춘천 북산
2013-03-08,12:13:00,2013-03-08,14:30:00,양양,현남,1.0,강원도 양양군 현남면,강원도 양양 현남
2013-03-06,15:10:00,2013-03-06,17:10:00,춘천,남산,0.05,강원도 춘천시 남산면,강원도 춘천 남산
2013-05-04,12:33:00,2013-05-04,13:30:00,홍천,홍천,0.1,강원도 홍천군 홍천읍,강원도 홍천 홍천
2013-04-30,12:05:00,2013-04-30,15:30:00,삼척,신기,0.8,강원도 삼척시 신기면,강원도 삼척 신기
2013-04-29,09:25:00,2013-04-29,10:20:00,태백,철암,0.07,강원도 태백시 철암동,강원도 태백 철암
2013-04-27,11:45:00,2013-04-27,13:30:00,양양,현남,0.3,강원도 양양군 현남면,강원도 양양 현남
2013-04-19,11:09:00,2013-04-19,11:50:00,홍천,남,0.1,강원도 홍천군 남면,강원도 홍천 남
2013-04-18,18:40:00,2013-04-19,07:30:00,홍천,서,0.1,강원도 홍천군 서면,강원도 홍천 서
2014-12-22,10:26:00,2014-12-22,11:30:00,양양,현북,0.05,강원도 양양군 현북면,강원도 양양 현북
2014-11-23,08:34:00,2014-11-23,10:30:00,양양,서,1.0,강원도 양양군 서면,강원도 양양 서
