original_fire_id,start_datetime,total_duration_hours,final_damage_area_ha,duration_hours,estimated_damage_area,timestamp,lat,lng,T2M,RH2M,WS10M,WD10M,PRECTOTCORR,FFMC,DMC,DC,ISI,BUI,FWI
9,2011-05-15 14:50:00,4.083333333333333,0.1,2,0.0489795918367347,2011-05-15 16:50:00,38.2072165163278,127.208191410563,16.1,71.64,5.81,237.9,0.01,84.42377593581259,6.4988941459200005,22.402,12.55084682512433,7.5338218354247255,113204.71110082416
9,2011-05-15 14:50:00,4.083333333333333,0.1,3,0.07346938775510205,2011-05-15 17:50:00,38.2072165163278,127.208191410563,14.39,81.32,4.13,232.9,0.03,84.07580965031615,6.2959388788320005,22.0942,11.004888092071651,7.353362544170316,37116.94556299592
9,2011-05-15 14:50:00,4.083333333333333,0.1,4,0.0979591836734694,2011-05-15 18:50:00,38.2072165163278,127.208191410563,11.58,94.4,2.74,226.6,0.05,84.28581926613386,6.07262414208,21.5884,10.553681096190079,7.13072506809706,22901.577043413563
9,2011-05-15 14:50:00,4.083333333333333,0.1,5,0.12244897959183675,2011-05-15 19:50:00,38.2072165163278,127.208191410563,9.78,100.0,2.57,224.1,0.01,85.04770672490858,6.0,21.264400000000002,11.607770139388043,7.036454484287622,39545.47730720278
10,2011-04-20 14:15:00,0.9166666666666666,0.6,1,0.6545454545454545,2011-04-20 15:15:00,37.5837464013969,128.150414957403,13.73,47.13,6.63,245.7,0.0,85.68975390579726,6.96525885131,22.4754,15.569048406843079,7.849219390383082,925173.597517573
11,2011-04-17 12:40:00,1.6666666666666667,0.3,1,0.18,2011-04-17 13:40:00,37.9659219985446,128.08336017963,15.75,40.75,3.31,187.5,0.0,86.08589775157377,7.22908407375,22.839,13.92239842573256,8.071285723148927,447751.46157745545
11,2011-04-17 12:40:00,1.6666666666666667,0.3,2,0.36,2011-04-17 14:40:00,37.9659219985446,128.08336017963,16.04,39.63,3.41,187.6,0.0,86.16457625483044,7.27387062998,22.891199999999998,14.14848640950907,8.107319490123425,532994.8667301312
12,2011-04-16 18:25:00,1.0833333333333333,0.1,1,0.09230769230769231,2011-04-16 19:25:00,37.79186457822,127.646194579037,7.37,58.65,1.14,74.7,0.0,84.7963354923243,6.43117369295,21.3306,10.434660344428279,7.334197738018666,25556.12476225126
12,2011-04-16 18:25:00,1.0833333333333333,0.1,2,0.18461538461538463,2011-04-16 20:25:00,37.79186457822,127.646194579037,5.42,67.98,2.07,97.8,0.0,84.45941635871885,6.25701723944,20.979599999999998,10.445300024018747,7.16887149521152,22172.762392285647
13,2011-04-13 23:40:00,2.8333333333333335,0.5,1,0.1764705882352941,2011-04-14 00:40:00,37.8176963056334,127.716024811844,1.95,100.0,2.03,235.2,0.0,85.04770672490858,6.0,20.355,11.296174329366524,6.908782350445483,29085.42048145039
13,2011-04-13 23:40:00,2.8333333333333335,0.5,2,0.3529411764705882,2011-04-14 01:40:00,37.8176963056334,127.716024811844,1.88,99.95,1.7,229.8,0.0,85.03993574075493,6.0001834339,20.342399999999998,11.098011972818759,6.907088807945711,25831.809137485507
13,2011-04-13 23:40:00,2.8333333333333335,0.5,3,0.5294117647058822,2011-04-14 02:40:00,37.8176963056334,127.716024811844,1.81,99.09,1.5,229.9,0.0,84.92064494224952,6.00326007591,20.3298,10.808124417420071,6.907309339439204,21743.566615793337
14,2011-04-13 16:50:00,1.0,0.15,1,0.15,2011-04-13 17:50:00,37.2883503881401,128.268649175287,11.65,58.28,5.3,268.8,0.0,84.92366017173548,6.654859023,22.101,13.09451923127754,7.593498839819839,166352.2948540258
15,2011-04-13 16:05:00,1.0833333333333333,0.2,1,0.18461538461538463,2011-04-13 17:05:00,37.2364370242581,129.045174522503,12.34,54.31,5.68,282.5,0.0,85.17862051238995,6.75598600896,22.2252,13.824392161279608,7.677489800201528,279338.4412346208
15,2011-04-13 16:05:00,1.0833333333333333,0.2,2,0.36923076923076925,2011-04-13 18:05:00,37.2364370242581,129.045174522503,8.76,71.66,4.14,282.8,0.0,84.32339368011819,6.34400922764,21.5808,11.382566426223551,7.3133431969258424,45078.62699882299
16,2011-04-10 12:19:00,0.8166666666666667,0.1,1,0.12244897959183675,2011-04-10 13:19:00,38.0576735877991,127.668191116312,13.73,60.77,7.71,248.5,0.12,84.87986537976634,6.71623046599,22.4754,14.696785721744357,7.68858849101824,469225.1434458065
17,2011-04-09 12:55:00,0.75,0.03,1,0.04,2011-04-09 13:55:00,38.1084781281203,128.034570007438,12.45,47.67,7.39,264.1,0.0,85.575772986261,6.8729379236499994,22.245,15.921750361427463,7.755455248216967,1014940.6589605566
18,2011-04-09 12:30:00,0.45,0.04,1,0.08888888888888889,2011-04-09 13:30:00,38.2023166396046,128.04349997028,12.45,47.67,7.39,264.1,0.0,85.575772986261,6.8729379236499994,22.245,15.921750361427463,7.755455248216967,1014940.6589605566
19,2011-04-06 16:27:00,0.55,0.1,1,0.18181818181818182,2011-04-06 17:27:00,37.6726837387208,128.837804434963,8.29,77.59,2.59,260.2,0.09,84.23608017025578,6.25906024989,21.4962,10.404357283265666,7.244591429307772,23139.7741069837
20,2011-04-06 14:50:00,1.1666666666666667,0.2,1,0.17142857142857143,2011-04-06 15:50:00,38.2159947520532,127.214250148342,9.58,58.34,2.58,261.1,0.0,84.85503743591822,6.54775184568,21.7284,11.310448889107166,7.468790708771117,49931.46157172186
20,2011-04-06 14:50:00,1.1666666666666667,0.2,2,0.34285714285714286,2011-04-06 16:50:00,38.2159947520532,127.214250148342,8.07,74.21,1.82,254.1,0.0,84.34916438818819,6.29114813273,21.4566,10.161983325431393,7.26037766950273,20154.08625688383
21,2011-04-05 11:08:00,0.5333333333333333,0.1,1,0.1875,2011-04-05 12:08:00,37.7321563694312,127.599895449274,15.85,36.13,2.92,253.5,0.0,86.26694944969998,7.3327845511500005,22.857,14.003964706118992,8.138367702355625,504537.46772243234
22,2011-04-01 14:15:00,2.5,0.5,1,0.2,2011-04-01 15:15:00,37.3477672516229,129.164074412158,13.9,49.58,5.46,277.7,0.0,85.54919188605018,6.93108093,22.506,14.392853973792274,7.832106899723388,459803.11862906127
22,2011-04-01 14:15:00,2.5,0.5,2,0.4,2011-04-01 16:15:00,37.3477672516229,129.164074412158,13.38,53.06,5.21,289.0,0.0,85.31345818180557,6.83676783632,22.412399999999998,13.754944116538189,7.7575504168624185,291723.53717839514
22,2011-04-01 14:15:00,2.5,0.5,3,0.6000000000000001,2011-04-01 17:15:00,37.3477672516229,129.164074412158,12.4,59.82,4.6,298.7,0.0,84.88311154229108,6.667785573,22.236,12.570600126506198,7.6218024418608055,125070.6626995676
23,2011-04-01 10:50:00,2.6666666666666665,0.3,1,0.1125,2011-04-01 11:50:00,37.3797685014938,128.661694256573,12.16,36.37,7.82,261.1,0.0,86.13480472051374,7.03872068118,22.1928,17.59539443942318,7.8517458656395736,2877816.4402819225
23,2011-04-01 10:50:00,2.6666666666666665,0.3,2,0.225,2011-04-01 12:50:00,37.3797685014938,128.661694256573,12.92,36.84,7.87,262.2,0.0,86.17847649426001,7.09014298952,22.3296,17.74855658587903,7.9051416795208524,3341406.9388522548
23,2011-04-01 10:50:00,2.6666666666666665,0.3,3,0.3375,2011-04-01 13:50:00,37.3797685014938,128.661694256573,13.35,37.69,7.85,264.2,0.0,86.17468349994854,7.1084572024499995,22.407,17.721211298718643,7.928649191726739,3388107.296348403
24,2011-03-24 13:00:00,1.25,0.7,1,0.5599999999999999,2011-03-24 14:00:00,38.1042562811837,127.707178844679,2.55,57.01,3.58,259.9,1.47,68.87173117671651,6.13968125943,18.963,3.475345958120652,6.78631886261762,114.28901357091169
24,2011-03-24 13:00:00,1.25,0.7,2,1.1199999999999999,2011-03-24 15:00:00,38.1042562811837,127.707178844679,1.63,71.15,2.24,263.3,3.49,47.68008068010897,-0.5477900608284846,11.689219625701842,0.6542516768059481,0.0,0.0
