fire_start_datetime,start_time,fire_end_datetime,end_time,corrected_address,damage_area,latitude,longitude
2012-02-16,14:05:00,2012-02-16,15:15:00,강원도 원주시 소초면,0.1,37.4179628767007,128.002389352861
2012-02-05,16:28:00,2012-02-05,16:49:00,강원도 고성군 거진읍,0.2,38.4361391562227,128.452553768285
2012-01-11,15:15:00,2012-01-11,16:50:00,강원도 홍천군 홍천읍,0.03,37.68943404802,127.884306327398
2013-12-06,14:06:00,2013-12-06,14:45:00,강원도 양양군 현북면,0.01,38.0190056461486,128.723115872388
2013-12-01,21:40:00,2013-12-01,22:40:00,강원도 강릉시 성산면,0.03,37.7187235115627,128.832100896917
2013-11-22,22:17:00,2013-11-23,02:30:00,강원도 태백시 하사미동,0.05,37.3106260597335,128.985358109029
2013-11-08,21:31:00,2013-11-08,21:51:00,강원도 양양군 양양읍,0.01,38.0806715229116,128.624012188104
2013-10-29,14:30:00,2013-10-29,16:54:00,강원도 춘천시 사북면,0.05,38.0298510072252,127.640812477483
2013-08-14,17:55:00,2013-08-15,07:15:00,강원도 삼척시 노곡면,0.3,37.3477672516229,129.164074412158
2013-08-11,16:22:00,2013-08-12,08:38:00,강원도 삼척시 가곡면,0.5,37.1497538953609,129.205212030994
2013-06-11,15:55:00,2013-06-11,19:20:00,강원도 양구군 국토정중앙면,0.01,38.1084781281203,128.034570007438
2013-06-07,03:02:00,2013-06-07,04:30:00,강원도 춘천시 동면,0.02,37.910341608957,127.781091988381
2013-05-17,22:30:00,2013-05-18,00:30:00,강원도 춘천시 서면,0.02,37.8986923448081,127.692791905634
2013-05-16,11:16:00,2013-05-16,12:10:00,강원도 홍천군 남면,0.05,37.6181202912817,127.767631386937
2013-05-14,08:43:00,2013-05-14,10:33:00,강원도 화천군 화천읍,0.02,38.1042562811837,127.707178844679
2013-05-12,14:00:00,2013-05-12,15:30:00,강원도 삼척시 미로면,0.1,37.4175439757334,129.112486953361
